Category,Style,Palette,Type,Icons,Layout,Charts,Background,Avoid,Pasteable prompt
World,Age of Exploration (1400-1600 CE),#1C3D5A #D4AF37 #8B4513 #F0E6D2 #2E8B57,"Maritime exploration, New World discovery, colonial era","caravel ship, compass, astrolabe, world map, spice trade","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#1C3D5A) primary, (#D4AF37) secondary, (#8B4513) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Age of Exploration (1400-1600 CE), Maritime exploration, New World discovery, colonial era, official national palette (#1C3D5A #D4AF37 #8B4513 #F0E6D2 #2E8B57), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#1C3D5A) primary, (#D4AF37) secondary, (#8B4513) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,North Korea,#ED1C27 #FFFFFF #024FA2,"DPRK Juche, revolutionary red, Pyongyang monumental","red star, Juche tower, Kim Il-sung, mass games","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#ED1C27) primary, (#FFFFFF) secondary, (#024FA2) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""North Korea, DPRK Juche, revolutionary red, Pyongyang monumental, official national palette (#ED1C27 #FFFFFF #024FA2), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#ED1C27) primary, (#FFFFFF) secondary, (#024FA2) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Ancient Greece - Classical Era (500-323 BCE),#0D5EAF #FFFFFF #D4AF37 #8B4513,"Hellenic democracy, Olympic spirit, philosophical wisdom","Parthenon, Greek columns, olive wreath, amphora, lyre","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#0D5EAF) primary, (#FFFFFF) secondary, (#D4AF37) accent, flag-inspired gradient","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Ancient Greece - Classical Era (500-323 BCE), Hellenic democracy, Olympic spirit, philosophical wisdom, official national palette (#0D5EAF #FFFFFF #D4AF37 #8B4513), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#0D5EAF) primary, (#FFFFFF) secondary, (#D4AF37) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Qatar,#8D1B3D #FFFFFF,"Qatari maroon prestige, Gulf pearl, modern tradition","nine-point serration, The Pearl, dhow, oryx, Doha skyline","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#8D1B3D #FFFFFF), flag-inspired design","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Qatar, Qatari maroon prestige, Gulf pearl, modern tradition, official national palette (#8D1B3D #FFFFFF), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#8D1B3D #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Ukraine,#005BBB #FFD500,"Ukrainian sunflower, wheat field, trident heritage","tryzub trident, sunflower, wheat field, Kyiv Pechersk Lavra","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#005BBB #FFD500), flag-inspired design","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""Ukraine, Ukrainian sunflower, wheat field, trident heritage, official national palette (#005BBB #FFD500), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#005BBB #FFD500), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Tanzania,#1EB53A #FBD016 #00A3DD #000000,"Tanzanian Serengeti, Kilimanjaro majesty, Swahili coast","Mount Kilimanjaro, Serengeti lion, Zanzibar door, Maasai warrior","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#1EB53A) primary, (#FBD016) secondary, (#00A3DD) accent, flag-inspired gradient","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Tanzania, Tanzanian Serengeti, Kilimanjaro majesty, Swahili coast, official national palette (#1EB53A #FBD016 #00A3DD #000000), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#1EB53A) primary, (#FBD016) secondary, (#00A3DD) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Saint Kitts and Nevis,#009E49 #CE1126 #FCD116 #000000,"Kittitian federation, sugar heritage, Caribbean twin","two stars, Brimstone Hill, green vervet monkey, sugar cane","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#009E49) primary, (#CE1126) secondary, (#FCD116) accent, flag-inspired gradient","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""Saint Kitts and Nevis, Kittitian federation, sugar heritage, Caribbean twin, official national palette (#009E49 #CE1126 #FCD116 #000000), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#009E49) primary, (#CE1126) secondary, (#FCD116) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Uruguay,#001489 #FFFFFF #FCD116,"Uruguayan Sun of May, gaucho heritage, progressive beacon","Sun of May, mate gourd, gaucho, Colonia del Sacramento","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#001489) primary, (#FFFFFF) secondary, (#FCD116) accent, flag-inspired gradient","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""Uruguay, Uruguayan Sun of May, gaucho heritage, progressive beacon, official national palette (#001489 #FFFFFF #FCD116), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#001489) primary, (#FFFFFF) secondary, (#FCD116) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Peru,#D91023 #FFFFFF,"Peruvian Inca heritage, Machu Picchu wonder, ceviche","vicuña, Machu Picchu, Nazca lines, llama, ceviche","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#D91023 #FFFFFF), flag-inspired design","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Peru, Peruvian Inca heritage, Machu Picchu wonder, ceviche, official national palette (#D91023 #FFFFFF), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#D91023 #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Atlantic Slave Trade (1500-1900 CE),#1C1C1C #8B4513 #4A4A4A #D4AF37 #FFFFFF,"Slave trade tragedy, middle passage horror, abolition struggle","slave ship diagram, broken chains, auction block, freedom torch","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#1C1C1C) primary, (#8B4513) secondary, (#4A4A4A) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""Atlantic Slave Trade (1500-1900 CE), Slave trade tragedy, middle passage horror, abolition struggle, official national palette (#1C1C1C #8B4513 #4A4A4A #D4AF37 #FFFFFF), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#1C1C1C) primary, (#8B4513) secondary, (#4A4A4A) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Iran,#239F40 #FFFFFF #DA0000,"Iranian Persian, ancient empire, Islamic Republic","Allah emblem, Persepolis, Persian carpet, saffron crocus","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#239F40) primary, (#FFFFFF) secondary, (#DA0000) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Iran, Iranian Persian, ancient empire, Islamic Republic, official national palette (#239F40 #FFFFFF #DA0000), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#239F40) primary, (#FFFFFF) secondary, (#DA0000) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Armenia,#D90012 #0033A0 #F2A800,"Armenian ancient, Mount Ararat heritage, khachkar stone","Mount Ararat, khachkar cross-stone, pomegranate, Yerevan pink","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#D90012) primary, (#0033A0) secondary, (#F2A800) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""Armenia, Armenian ancient, Mount Ararat heritage, khachkar stone, official national palette (#D90012 #0033A0 #F2A800), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#D90012) primary, (#0033A0) secondary, (#F2A800) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Burundi,#18B637 #FFFFFF #CE1126 #1EB53A,"Burundian drums, Great Lakes heritage, unity colors","three stars, drum, Lake Tanganyika, sorghum","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#18B637) primary, (#FFFFFF) secondary, (#CE1126) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""Burundi, Burundian drums, Great Lakes heritage, unity colors, official national palette (#18B637 #FFFFFF #CE1126 #1EB53A), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#18B637) primary, (#FFFFFF) secondary, (#CE1126) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Switzerland,#FF0000 #FFFFFF,"Swiss precision, Alpine neutrality, chocolate and watches","white cross, Matterhorn, Swiss watch, chocolate, bank vault","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#FF0000 #FFFFFF), flag-inspired design","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Switzerland, Swiss precision, Alpine neutrality, chocolate and watches, official national palette (#FF0000 #FFFFFF), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#FF0000 #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
World,World War I (1914-1918 CE),#4A4A4A #8B4513 #4B5320 #BF0A30 #F5F5DC,"Great War tragedy, trench warfare, lost generation","trench helmet, barbed wire, poppy flower, biplane, gas mask","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#4A4A4A) primary, (#8B4513) secondary, (#4B5320) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""World War I (1914-1918 CE), Great War tragedy, trench warfare, lost generation, official national palette (#4A4A4A #8B4513 #4B5320 #BF0A30 #F5F5DC), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#4A4A4A) primary, (#8B4513) secondary, (#4B5320) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Moon Landing (1969 CE),#1C1C1C #C0C0C0 #FFFFFF #002868 #BF0A30,"Moon landing triumph, giant leap, space age achievement","astronaut boot print, lunar module, American flag on moon, Earth rise","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#1C1C1C) primary, (#C0C0C0) secondary, (#FFFFFF) accent, flag-inspired gradient","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Moon Landing (1969 CE), Moon landing triumph, giant leap, space age achievement, official national palette (#1C1C1C #C0C0C0 #FFFFFF #002868 #BF0A30), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#1C1C1C) primary, (#C0C0C0) secondary, (#FFFFFF) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Bhutan,#FF4E12 #FFD520 #FFFFFF,"Bhutanese dragon kingdom, Himalayan happiness, dzong architecture","thunder dragon, dzong fortress, prayer flags, takin animal","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#FF4E12) primary, (#FFD520) secondary, (#FFFFFF) accent, flag-inspired gradient","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Bhutan, Bhutanese dragon kingdom, Himalayan happiness, dzong architecture, official national palette (#FF4E12 #FFD520 #FFFFFF), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#FF4E12) primary, (#FFD520) secondary, (#FFFFFF) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Indonesia,#FF0000 #FFFFFF,"Indonesian archipelago, Garuda strength, Bhinneka Tunggal Ika","Garuda Pancasila, Borobudur, komodo dragon, batik pattern","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#FF0000 #FFFFFF), flag-inspired design","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""Indonesia, Indonesian archipelago, Garuda strength, Bhinneka Tunggal Ika, official national palette (#FF0000 #FFFFFF), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#FF0000 #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Renaissance (1400-1600 CE),#8B4513 #D4AF37 #1E3A5F #F5F5DC #800020,"Renaissance rebirth, artistic mastery, humanist enlightenment","Vitruvian Man, paintbrush, Medici crest, printing press, dome","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#8B4513) primary, (#D4AF37) secondary, (#1E3A5F) accent, flag-inspired gradient","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""Renaissance (1400-1600 CE), Renaissance rebirth, artistic mastery, humanist enlightenment, official national palette (#8B4513 #D4AF37 #1E3A5F #F5F5DC #800020), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#8B4513) primary, (#D4AF37) secondary, (#1E3A5F) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Morocco,#C1272D #006233,"Moroccan royal, Marrakech spice, Atlas mountain majesty","pentagram star, Hassan II mosque, tagine, zellige tiles, camel","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#C1272D #006233), flag-inspired design","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Morocco, Moroccan royal, Marrakech spice, Atlas mountain majesty, official national palette (#C1272D #006233), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#C1272D #006233), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Republic of the Congo,#009543 #FBDE4A #DC241F,"Congo-Brazzaville vibrant, rainforest green, oil prosperity","diagonal bands, Brazzaville skyline, forest elephant, oil platform","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#009543) primary, (#FBDE4A) secondary, (#DC241F) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Republic of the Congo, Congo-Brazzaville vibrant, rainforest green, oil prosperity, official national palette (#009543 #FBDE4A #DC241F), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#009543) primary, (#FBDE4A) secondary, (#DC241F) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,San Marino,#5EB6E4 #FFFFFF,"Sammarinese ancient, three towers, oldest republic","three towers, Mount Titano, crossbow, Guaita fortress","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#5EB6E4 #FFFFFF), flag-inspired design","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""San Marino, Sammarinese ancient, three towers, oldest republic, official national palette (#5EB6E4 #FFFFFF), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#5EB6E4 #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Guinea-Bissau,#CE1126 #FCD116 #009E49 #000000,"Bissau-Guinean coastal, cashew wealth, Creole heritage","black star, cashew nut, Bijagos islands, fishing pirogue","flag-inspired design, natural wonders display, cultural mosaic, welcome message footer","development indices, trade partners, cultural output, infrastructure growth","national colors (#CE1126) primary, (#FCD116) secondary, (#009E49) accent, flag-inspired gradient","incorrect historical facts, trivializing tragedies, insensitive treatment of conflicts","""Guinea-Bissau, Bissau-Guinean coastal, cashew wealth, Creole heritage, official national palette (#CE1126 #FCD116 #009E49 #000000), flag-inspired design, natural wonders display, cultural mosaic, welcome message footer, development indices, trade partners, cultural output, infrastructure growth, national colors (#CE1126) primary, (#FCD116) secondary, (#009E49) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Malawi,#000000 #CE1126 #339E35,"Malawian warm heart, Lake Malawi blue, tobacco leaf","rising sun, Lake Malawi, fish eagle, tea plantation","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#000000) primary, (#CE1126) secondary, (#339E35) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""Malawi, Malawian warm heart, Lake Malawi blue, tobacco leaf, official national palette (#000000 #CE1126 #339E35), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#000000) primary, (#CE1126) secondary, (#339E35) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Sweden,#006AA7 #FECC00,"Swedish lagom, Nordic cross, IKEA innovation","three crowns, Dala horse, ABBA, meatballs, IKEA","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#006AA7 #FECC00), flag-inspired design","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Sweden, Swedish lagom, Nordic cross, IKEA innovation, official national palette (#006AA7 #FECC00), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#006AA7 #FECC00), flag-inspired design, authentic cultural representation, respectful national identity."""
World,South Africa,#007A4D #FFB612 #000000 #DE3831 #002395 #FFFFFF,"South African rainbow nation, Ubuntu spirit, diversity","protea flower, Table Mountain, springbok, Mandela, rugby","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#007A4D) primary, (#FFB612) secondary, (#000000) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""South Africa, South African rainbow nation, Ubuntu spirit, diversity, official national palette (#007A4D #FFB612 #000000 #DE3831 #002395 #FFFFFF), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#007A4D) primary, (#FFB612) secondary, (#000000) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Cameroon,#007A5E #CE1126 #FCD116,"Cameroonian Pan-African, Indomitable Lions pride, diversity","yellow star, Mount Cameroon, lion, cocoa pod","flag gradient header, geographic highlights, tradition panels, unity slogan footer","economic indicators, cultural exports, geographic data, development metrics","national colors (#007A5E) primary, (#CE1126) secondary, (#FCD116) accent, flag-inspired gradient","religious disrespect, colonial stereotypes, outdated representations, offensive symbols","""Cameroon, Cameroonian Pan-African, Indomitable Lions pride, diversity, official national palette (#007A5E #CE1126 #FCD116), flag gradient header, geographic highlights, tradition panels, unity slogan footer, economic indicators, cultural exports, geographic data, development metrics, national colors (#007A5E) primary, (#CE1126) secondary, (#FCD116) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Guyana,#009E49 #FCD116 #FFFFFF #000000 #CE1126,"Guyanese golden arrowhead, Caribbean South America, rainforest","golden arrowhead, Kaieteur Falls, jaguar, sugar cane","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#009E49) primary, (#FCD116) secondary, (#FFFFFF) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Guyana, Guyanese golden arrowhead, Caribbean South America, rainforest, official national palette (#009E49 #FCD116 #FFFFFF #000000 #CE1126), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#009E49) primary, (#FCD116) secondary, (#FFFFFF) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Sierra Leone,#1EB53A #FFFFFF #0072C6,"Sierra Leonean lion mountain, diamond heritage, freedom","lion mountain, diamond, cotton tree, beach","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#1EB53A) primary, (#FFFFFF) secondary, (#0072C6) accent, flag-inspired gradient","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Sierra Leone, Sierra Leonean lion mountain, diamond heritage, freedom, official national palette (#1EB53A #FFFFFF #0072C6), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#1EB53A) primary, (#FFFFFF) secondary, (#0072C6) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Costa Rica,#002B7F #FFFFFF #CE1126,"Costa Rican pura vida, cloud forest, eco-paradise","coat of arms, quetzal bird, coffee, volcano, sloth","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#002B7F) primary, (#FFFFFF) secondary, (#CE1126) accent, flag-inspired gradient","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Costa Rica, Costa Rican pura vida, cloud forest, eco-paradise, official national palette (#002B7F #FFFFFF #CE1126), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#002B7F) primary, (#FFFFFF) secondary, (#CE1126) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Albania,#E41E20 #000000,"Albanian double eagle, Skanderbeg heritage, mountain pride","double-headed eagle, Skanderbeg helmet, bunker, Albanian Riviera","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#E41E20 #000000), flag-inspired design","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Albania, Albanian double eagle, Skanderbeg heritage, mountain pride, official national palette (#E41E20 #000000), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#E41E20 #000000), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Bolivia,#D52B1E #F9E300 #007934,"Bolivian Plurinational, Andean heritage, salt flat wonder","Andean condor, Salar de Uyuni, coca leaf, cholita hat","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#D52B1E) primary, (#F9E300) secondary, (#007934) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Bolivia, Bolivian Plurinational, Andean heritage, salt flat wonder, official national palette (#D52B1E #F9E300 #007934), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#D52B1E) primary, (#F9E300) secondary, (#007934) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Haiti,#00209F #D21034 #FFFFFF,"Haitian revolution, Creole spirit, Caribbean first","coat of arms, Citadelle Laferrière, Kompa music, Vodou symbol","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#00209F) primary, (#D21034) secondary, (#FFFFFF) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""Haiti, Haitian revolution, Creole spirit, Caribbean first, official national palette (#00209F #D21034 #FFFFFF), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#00209F) primary, (#D21034) secondary, (#FFFFFF) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Mauritius,#EA2839 #1A206D #FFD500 #00A551,"Mauritian paradise, dodo legacy, sugar island","dodo bird, sugar cane, beach, Hindu temple, seven-colored earth","national emblem header, landmark panorama, heritage celebration, country slogan footer","economic sectors, demographic trends, cultural heritage sites, environmental data","national colors (#EA2839) primary, (#1A206D) secondary, (#FFD500) accent, flag-inspired gradient","flag desecration, inappropriate national symbols, cultural appropriation, disrespectful depictions","""Mauritius, Mauritian paradise, dodo legacy, sugar island, official national palette (#EA2839 #1A206D #FFD500 #00A551), national emblem header, landmark panorama, heritage celebration, country slogan footer, economic sectors, demographic trends, cultural heritage sites, environmental data, national colors (#EA2839) primary, (#1A206D) secondary, (#FFD500) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Bahrain,#CE1126 #FFFFFF,"Bahraini pearl island, Gulf prosperity, modern tradition","five-pointed serration, pearl, Bahrain World Trade Center, dhow","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#CE1126 #FFFFFF), flag-inspired design","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Bahrain, Bahraini pearl island, Gulf prosperity, modern tradition, official national palette (#CE1126 #FFFFFF), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#CE1126 #FFFFFF), flag-inspired design, authentic cultural representation, respectful national identity."""
World,Egypt,#CE1126 #FFFFFF #000000 #C09300,"Egyptian ancient modern, Pharaonic grandeur, Nile elegance","Eagle of Saladin, pyramids, sphinx, Nile River, ankh","national flag banner, landmark showcase, cultural heritage grid, national motto footer","GDP growth, population demographics, tourism statistics, export composition","national colors (#CE1126) primary, (#FFFFFF) secondary, (#000000) accent, flag-inspired gradient","culturally insensitive imagery, national stereotypes, incorrect flag colors, political controversy","""Egypt, Egyptian ancient modern, Pharaonic grandeur, Nile elegance, official national palette (#CE1126 #FFFFFF #000000 #C09300), national flag banner, landmark showcase, cultural heritage grid, national motto footer, GDP growth, population demographics, tourism statistics, export composition, national colors (#CE1126) primary, (#FFFFFF) secondary, (#000000) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
World,Islamic Golden Age (750-1258 CE),#006400 #D4AF37 #FFFFFF #1E3A5F,"Islamic scholarship, arabesque elegance, scientific enlightenment","crescent and star, arabesque pattern, astrolabe, Quran, mosque","patriotic colors banner, tourism showcase, cultural icons grid, national pride footer","trade statistics, population pyramid, natural resources, education rates","national colors (#006400) primary, (#D4AF37) secondary, (#FFFFFF) accent, flag-inspired gradient","historical inaccuracies, territorial disputes imagery, sensitive political symbols","""Islamic Golden Age (750-1258 CE), Islamic scholarship, arabesque elegance, scientific enlightenment, official national palette (#006400 #D4AF37 #FFFFFF #1E3A5F), patriotic colors banner, tourism showcase, cultural icons grid, national pride footer, trade statistics, population pyramid, natural resources, education rates, national colors (#006400) primary, (#D4AF37) secondary, (#FFFFFF) accent, flag-inspired gradient, authentic cultural representation, respectful national identity."""
